product;price;quantity;date;region
pink morsel;$3.00;526;13-10-2020;north
pink morsel;$3.00;546;13-10-2020;south
pink morsel;$3.00;505;13-10-2020;east
pink morsel;$3.00;561;13-10-2020;west
gold morsel;$9.99;553;13-10-2020;north
gold morsel;$9.99;513;13-10-2020;south
gold morsel;$9.99;575;13-10-2020;east
gold morsel;$9.99;599;13-10-2020;west
magenta morsel;$2.50;544;13-10-2020;north
magenta morsel;$2.50;542;13-10-2020;south
magenta morsel;$2.50;507;13-10-2020;east
magenta morsel;$2.50;568;13-10-2020;west
chartreuse morsel;$3.00;509;13-10-2020;north
chartreuse morsel;$3.00;582;13-10-2020;south
chartreuse morsel;$3.00;517;13-10-2020;east
chartreuse morsel;$3.00;583;13-10-2020;west
periwinkle morsel;$1.25;511;13-10-2020;north
periwinkle morsel;$1.25;598;13-10-2020;south
periwinkle morsel;$1.25;546;13-10-2020;east
periwinkle morsel;$1.25;599;13-10-2020;west
vermilion morsel;$4.99;555;13-10-2020;north
vermilion morsel;$4.99;543;13-10-2020;south
vermilion morsel;$4.99;527;13-10-2020;east
vermilion morsel;$4.99;581;13-10-2020;west
lapis morsel;$1.99;504;13-10-2020;north
lapis morsel;$1.99;536;13-10-2020;south
lapis morsel;$1.99;518;13-10-2020;east
lapis morsel;$1.99;573;13-10-2020;west
pink morsel;$3.00;560;14-10-2020;north
pink morsel;$3.00;585;14-10-2020;south
pink morsel;$3.00;528;14-10-2020;east
pink morsel;$3.00;530;14-10-2020;west
gold morsel;$9.99;559;14-10-2020;north
gold morsel;$9.99;501;14-10-2020;south
gold morsel;$9.99;519;14-10-2020;east
gold morsel;$9.99;580;14-10-2020;west
magenta morsel;$2.50;515;14-10-2020;north
magenta morsel;$2.50;556;14-10-2020;south
magenta morsel;$2.50;585;14-10-2020;east
magenta morsel;$2.50;518;14-10-2020;west
chartreuse morsel;$3.00;596;14-10-2020;north
chartreuse morsel;$3.00;592;14-10-2020;south
chartreuse morsel;$3.00;536;14-10-2020;east
chartreuse morsel;$3.00;597;14-10-2020;west
periwinkle morsel;$1.25;500;14-10-2020;north
periwinkle morsel;$1.25;584;14-10-2020;south
periwinkle morsel;$1.25;510;14-10-2020;east
periwinkle morsel;$1.25;531;14-10-2020;west
vermilion morsel;$4.99;546;14-10-2020;north
vermilion morsel;$4.99;520;14-10-2020;south
vermilion morsel;$4.99;597;14-10-2020;east
vermilion morsel;$4.99;598;14-10-2020;west
lapis morsel;$1.99;503;14-10-2020;north
lapis morsel;$1.99;579;14-10-2020;south
lapis morsel;$1.99;528;14-10-2020;east
lapis morsel;$1.99;595;14-10-2020;west
pink morsel;$3.00;506;15-10-2020;north
pink morsel;$3.00;567;15-10-2020;south
pink morsel;$3.00;572;15-10-2020;east
pink morsel;$3.00;521;15-10-2020;west
gold morsel;$9.99;595;15-10-2020;north
gold morsel;$9.99;582;15-10-2020;south
gold morsel;$9.99;596;15-10-2020;east
gold morsel;$9.99;561;15-10-2020;west
magenta morsel;$2.50;527;15-10-2020;north
magenta morsel;$2.50;513;15-10-2020;south
magenta morsel;$2.50;534;15-10-2020;east
magenta morsel;$2.50;519;15-10-2020;west
chartreuse morsel;$3.00;542;15-10-2020;north
chartreuse morsel;$3.00;569;15-10-2020;south
chartreuse morsel;$3.00;505;15-10-2020;east
chartreuse morsel;$3.00;586;15-10-2020;west
periwinkle morsel;$1.25;560;15-10-2020;north
periwinkle morsel;$1.25;596;15-10-2020;south
periwinkle morsel;$1.25;574;15-10-2020;east
periwinkle morsel;$1.25;578;15-10-2020;west
vermilion morsel;$4.99;541;15-10-2020;north
vermilion morsel;$4.99;563;15-10-2020;south
vermilion morsel;$4.99;583;15-10-2020;east
vermilion morsel;$4.99;568;15-10-2020;west
lapis morsel;$1.99;549;15-10-2020;north
lapis morsel;$1.99;598;15-10-2020;south
lapis morsel;$1.99;595;15-10-2020;east
lapis morsel;$1.99;528;15-10-2020;west
pink morsel;$3.00;546;16-10-2020;north
pink morsel;$3.00;563;16-10-2020;south
pink morsel;$3.00;505;16-10-2020;east
pink morsel;$3.00;544;16-10-2020;west
gold morsel;$9.99;502;16-10-2020;north
gold morsel;$9.99;521;16-10-2020;south
gold morsel;$9.99;599;16-10-2020;east
gold morsel;$9.99;541;16-10-2020;west
magenta morsel;$2.50;591;16-10-2020;north
magenta morsel;$2.50;510;16-10-2020;south
magenta morsel;$2.50;575;16-10-2020;east
magenta morsel;$2.50;503;16-10-2020;west
chartreuse morsel;$3.00;585;16-10-2020;north
chartreuse morsel;$3.00;501;16-10-2020;south
chartreuse morsel;$3.00;566;16-10-2020;east
chartreuse morsel;$3.00;556;16-10-2020;west
periwinkle morsel;$1.25;519;16-10-2020;north
periwinkle morsel;$1.25;520;16-10-2020;south
periwinkle morsel;$1.25;501;16-10-2020;east
periwinkle morsel;$1.25;583;16-10-2020;west
vermilion morsel;$4.99;586;16-10-2020;north
vermilion morsel;$4.99;503;16-10-2020;south
vermilion morsel;$4.99;540;16-10-2020;east
vermilion morsel;$4.99;563;16-10-2020;west
lapis morsel;$1.99;563;16-10-2020;north
lapis morsel;$1.99;516;16-10-2020;south
lapis morsel;$1.99;520;16-10-2020;east
lapis morsel;$1.99;517;16-10-2020;west
pink morsel;$3.00;503;17-10-2020;north
pink morsel;$3.00;597;17-10-2020;south
pink morsel;$3.00;503;17-10-2020;east
pink morsel;$3.00;592;17-10-2020;west
gold morsel;$9.99;586;17-10-2020;north
gold morsel;$9.99;569;17-10-2020;south
gold morsel;$9.99;565;17-10-2020;east
gold morsel;$9.99;538;17-10-2020;west
magenta morsel;$2.50;507;17-10-2020;north
magenta morsel;$2.50;523;17-10-2020;south
magenta morsel;$2.50;598;17-10-2020;east
magenta morsel;$2.50;553;17-10-2020;west
chartreuse morsel;$3.00;579;17-10-2020;north
chartreuse morsel;$3.00;525;17-10-2020;south
chartreuse morsel;$3.00;594;17-10-2020;east
chartreuse morsel;$3.00;571;17-10-2020;west
periwinkle morsel;$1.25;589;17-10-2020;north
periwinkle morsel;$1.25;560;17-10-2020;south
periwinkle morsel;$1.25;516;17-10-2020;east
periwinkle morsel;$1.25;572;17-10-2020;west
vermilion morsel;$4.99;568;17-10-2020;north
vermilion morsel;$4.99;528;17-10-2020;south
vermilion morsel;$4.99;511;17-10-2020;east
vermilion morsel;$4.99;509;17-10-2020;west
lapis morsel;$1.99;532;17-10-2020;north
lapis morsel;$1.99;543;17-10-2020;south
lapis morsel;$1.99;547;17-10-2020;east
lapis morsel;$1.99;568;17-10-2020;west
pink morsel;$3.00;508;18-10-2020;north
pink morsel;$3.00;572;18-10-2020;south
pink morsel;$3.00;526;18-10-2020;east
pink morsel;$3.00;571;18-10-2020;west
gold morsel;$9.99;585;18-10-2020;north
gold morsel;$9.99;557;18-10-2020;south
gold morsel;$9.99;578;18-10-2020;east
gold morsel;$9.99;526;18-10-2020;west
magenta morsel;$2.50;584;18-10-2020;north
